category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Mysločovice,myslocovice,my,37.92,57.82,95.91
europe_lau,Mysletice,mysletice,my,61.55,72.82,69
europe_lau,Mysliboř,myslibor,my,44.13,60.78,94.68
europe_lau,Myslibořice,mysliborice,my,42.17,57.05,49.62
europe_lau,Myslejovice,myslejovice,my,37.51,58.07,89.45
europe_lau,Mynämäki,mynamaki,my,42.28,59.38,59.35
europe_lau,Myrskylä,myrskyla,my,56.54,62.4,63.56
europe_lau,Myon,myon,my,42.23,74.23,92.71
europe_lau,Μυλικούρι,mylikouri,my,50.06,59.98,52.59
europe_lau,Μύρτου,myrtou,my,36.96,53.54,59.83
europe_lau,Mydlovary,mydlovary,my,48.84,60.04,53.55
europe_lau,Myans,myans,my,30.89,52.98,69.55
europe_lau,Myennes,myennes,my,29.52,47.75,84.08
europe_lau,Myślibórz,mysliborz,my,53.75,56.41,44.17
europe_lau,Myslín,myslin,my,42.63,67.73,95.12
europe_lau,Mýto,myto,my,45.39,50.61,75.78
europe_lau,Myslkovice,myslkovice,my,56,82.45,27.74
europe_lau,Mysłakowice,myslakowice,my,64.71,69.74,49.76
europe_lau,Myštice,mystice,my,42.94,57.68,50.29
europe_lau,Myslív,mysliv,my,42.09,53.1,79.98
europe_lau,Myszyniec,myszyniec,my,50.96,63.76,53.99
europe_lau,Mysletín,mysletin,my,51.15,60.95,41.89
europe_lau,Mýrdalshreppur,myrdalshreppur,my,57.48,74.31,15.33
europe_lau,Myslovice,myslovice,my,38.71,62.65,32.23
europe_lau,Mýto pod Ďumbierom,myto_pod_dumbierom,my,53.19,67.47,56.86
europe_lau,Myjava,myjava,my,59.09,66.99,63.59
europe_lau,Myštěves,mysteves,my,45,65.65,79.91
europe_lau,Mýtna,mytna,my,32.39,46.2,92.89
europe_lau,Myslina,myslina,my,65.32,72.94,70.33
europe_lau,Mýtne Ludany,mytne_ludany,my,41.37,53.37,30.91
europe_lau,Myślenice,myslenice,my,41.53,58.37,47.51
europe_lau,Mycielin,mycielin,my,39.75,59.15,96.26
europe_lau,Myslinka,myslinka,my,59.8,81.73,42.62
europe_lau,Mykanów,mykanow,my,52.24,59.55,59.31
europe_lau,Myszków,myszkow,my,54.45,64.67,86.54
europe_lau,Mysłowice,myslowice,my,40.37,58.4,65.05
