category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Podersdorf am See,podersdorf_am_see,po,36.84,50.7,10.93
austria_municipalities,Poggersdorf,poggersdorf,po,34.9,57.19,10.4
austria_municipalities,Pollham,pollham,po,51.43,71.97,15.62
austria_municipalities,Polling im Innkreis,polling_im_innkreis,po,41.64,58.08,28.19
austria_municipalities,Polling in Tirol,polling_in_tirol,po,39.44,69.15,82.25
austria_municipalities,Pottendorf,pottendorf,po,33.59,49.29,1.28
austria_municipalities,Pottenstein,pottenstein,po,36.7,51.44,28.3
austria_municipalities,Potzneusiedl,potzneusiedl,po,42.77,72.65,22.53
austria_municipalities,Poysdorf,poysdorf,po,51.92,60.3,54.01
austria_municipalities,Pöchlarn,pochlarn,po,45.14,53.74,47.27
austria_municipalities,Pöggstall,poggstall,po,56.41,68.73,77.07
austria_municipalities,Pölfing-Brunn,polfing_brunn,po,42.2,61.62,-23.35
austria_municipalities,Pölla,polla,po,27.55,46.12,-37.33
austria_municipalities,Pöllau,pollau,po,46.25,58.69,70.06
austria_municipalities,Pöllauberg,pollauberg,po,55.22,68.17,81.1
austria_municipalities,Pöls-Oberkurzheim,pols_oberkurzheim,po,43.78,58.13,63.16
austria_municipalities,Pölstal,polstal,po,51.08,56.82,58.47
austria_municipalities,Pöndorf,pondorf,po,49.8,66.93,80.71
austria_municipalities,Pörtschach am Wörther See,portschach_am_worther_see,po,38.26,61.97,22.11
austria_municipalities,Pöttelsdorf,pottelsdorf,po,40.18,64.79,86.98
austria_municipalities,Pötting,potting,po,62.17,70.94,45.75
austria_municipalities,Pöttsching,pottsching,po,41.28,60.41,77.34
