name_clean,name_real
mirdite,Mirditë
minihof_liebau,Minihof-Liebau
mischendorf,Mischendorf
micheldorf,Micheldorf
millstatt_am_see,Millstatt am See
mitterndorf_an_der_fischa,Mitterndorf an der Fischa
mitterbach_am_erlaufsee,Mitterbach am Erlaufsee
mistelbach,Mistelbach
michelbach,Michelbach
michelhausen,Michelhausen
miesenbach,Miesenbach
mining,Mining
michaelnbach,Michaelnbach
micheldorf_in_oberosterreich,Micheldorf in Oberösterreich
mitterkirchen_im_machland,Mitterkirchen im Machland
mittersill,Mittersill
michaelerberg_pruggern,Michaelerberg-Pruggern
mitterberg_sankt_martin,Mitterberg-Sankt Martin
miesenbach_bei_birkfeld,Miesenbach bei Birkfeld
mitterdorf_an_der_raab,Mitterdorf an der Raab
mieming,Mieming
mils_bei_imst,Mils bei Imst
mieders,Mieders
mils,Mils
mittelberg,Mittelberg
