name_clean,name_real
gerersdorf_sulz,Gerersdorf-Sulz
geras,Geras
gerasdorf_bei_wien,Gerasdorf bei Wien
gedersdorf,Gedersdorf
gerersdorf,Gerersdorf
geretsberg,Geretsberg
geboltskirchen,Geboltskirchen
geiersberg,Geiersberg
geinberg,Geinberg
geistthal_sodingberg,Geistthal-Södingberg
gersdorf_an_der_feistritz,Gersdorf an der Feistritz
gerlos,Gerlos
gerlosberg,Gerlosberg
geel,Geel
geetbets,Geetbets
geraardsbergen,Geraardsbergen
gent,Gent
genk,Genk
genappe,Genappe
gerpinnes,Gerpinnes
geer,Geer
gedinne,Gedinne
gesves,Gesves
gembloux,Gembloux
