name_clean,name_real
igel,Igel
igersheim,Igersheim
iggingen,Iggingen
igling,Igling
iggensbach,Iggensbach
igensdorf,Igensdorf
iglso,Iglsø
igualeja,Igualeja
igries,Igriés
iglesuela_del_cid_la,Iglesuela del Cid, La
iglesiarrubia,Iglesiarrubia
iglesias,Iglesias
iguena,Igüeña
iglesuela_la,Iglesuela, La
igualada,Igualada
iguzquiza,Igúzquiza
igantzi,Igantzi
igorre,Igorre
igea,Igea
igny,Igny
ignol,Ignol
igornay,Igornay
iguerande,Iguerande
ige,Igé
igoville,Igoville
ignaucourt,Ignaucourt
igny_comblizy,Igny-Comblizy
igney,Igney
igon,Igon
ignaux,Ignaux
igar,Igar
igal,Igal
igrici,Igrici
ightermurragh,Ightermurragh
igliano,Igliano
igliauka,Igliauka
ignalina,Ignalina
igolomia_wawrzenczyce,Igołomia-Wawrzeńczyce
igrejinha,Igrejinha
igreja_nova_e_cheleiros,Igreja Nova e Cheleiros
igreja_nova_do_sobral,Igreja Nova do Sobral
ighiu,Ighiu
ignesti,Igneşti
ig,Ig
iga_vas,Iga vas
iglenik,Iglenik
iglenik_pri_veliki_loki,Iglenik pri Veliki Loki
igram,Igram
