name_clean,name_real
irschen,Irschen
irnfritz_messern,Irnfritz-Messern
irdning_donnersbachtal,Irdning-Donnersbachtal
iragna,Iragna
irmtraut,Irmtraut
irmenach,Irmenach
irrhausen,Irrhausen
irrel,Irrel
irsch,Irsch
irndorf,Irndorf
irschenberg,Irschenberg
irlbach,Irlbach
irchenrieth,Irchenrieth
irtenberger_wald,Irtenberger Wald
irsee,Irsee
iruela_la,Iruela, La
iruelos,Iruelos
irueste,Irueste
irixoa,Irixoa
irixo_o,Irixo, O
iraneta,Irañeta
irurtzun,Irurtzun
iruraiz_gauna,Iruraiz-Gauna
iruna_de_oca,Iruña de Oca
irun,Irun
irura,Irura
irancy,Irancy
irreville,Irreville
irai,Irai
iron,Iron
irles,Irles
ire_le_sec,Iré-le-Sec
irvillac,Irvillac
irodouer,Irodouër
irissarry,Irissarry
irouleguy,Irouléguy
irais,Irais
irigny,Irigny
iracoubo,Iracoubo
iregszemcse,Iregszemcse
irota,Irota
irma,Irma
irsina,Irsina
irgoli,Irgoli
irsu,Iršu
irlavas,Irlavas
irzadze,Irządze
irivo,Irivo
iratosu,Iratoşu
irig,Irig
irje,Irje
irlam,Irlam
irwell_riverside,Irwell Riverside
irthing,Irthing
ironville_and_riddings,Ironville and Riddings
irwell,Irwell
ironbridge_gorge,Ironbridge Gorge
irchester,Irchester
irthlingborough_john_pyel,Irthlingborough John Pyel
irthlingborough_waterloo,Irthlingborough Waterloo
irvine_valley,Irvine Valley
irvine_west,Irvine West
irvine_east,Irvine East
irvinestown,Irvinestown
