name_clean,name_real
hnacov,Hnačov
hnevnice,Hněvnice
hnevceves,Hněvčeves
hnatnice,Hnátnice
hnevkovice,Hněvkovice
hnanice,Hnanice
hnevotin,Hněvotín
hnojice,Hnojice
hnojnik,Hnojník
hnevosice,Hněvošice
hnusta,Hnúšťa
hniezdne,Hniezdne
hnojne,Hnojné
hnilcik,Hnilčík
hnilec,Hnilec
