category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Ludersdorf-Wilfersdorf,ludersdorf_wilfersdorf,lu,47.43,53.56,47.07
austria_municipalities,Ludesch,ludesch,lu,33.7,61.79,31.1
austria_municipalities,Ludmannsdorf,ludmannsdorf,lu,31.52,60.76,-86.97
austria_municipalities,Ludweis-Aigen,ludweis_aigen,lu,30.68,53.54,93.01
austria_municipalities,Luftenberg an der Donau,luftenberg_an_der_donau,lu,39.17,64.21,97.47
austria_municipalities,Lunz am See,lunz_am_see,lu,56.31,56.97,66.99
austria_municipalities,Lurnfeld,lurnfeld,lu,40.4,60.9,98.69
austria_municipalities,Lustenau,lustenau,lu,44.32,69.17,94.75
austria_municipalities,Lutzmannsburg,lutzmannsburg,lu,42.06,61.02,80.75
