category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Pabneukirchen,pabneukirchen,pa,36.81,56.22,90.05
austria_municipalities,Paldau,paldau,pa,47.82,60.06,30.12
austria_municipalities,Palterndorf-Dobermannsdorf,palterndorf_dobermannsdorf,pa,53.06,82.92,56.59
austria_municipalities,Palting,palting,pa,61.53,63.24,42.95
austria_municipalities,Pama,pama,pa,64.1,80.06,56.69
austria_municipalities,Pamhagen,pamhagen,pa,55.21,66.95,63.43
austria_municipalities,Parbasdorf,parbasdorf,pa,74.81,74.61,63.23
austria_municipalities,Parndorf,parndorf,pa,40.92,46.73,68.62
austria_municipalities,Pasching,pasching,pa,38.17,56.27,30.27
austria_municipalities,Passail,passail,pa,34.96,49.28,90.98
austria_municipalities,Paternion,paternion,pa,27.57,41.85,-27.73
austria_municipalities,Patsch,patsch,pa,37.46,46.7,33.23
austria_municipalities,Pattigham,pattigham,pa,46.56,57.38,60.25
austria_municipalities,Paudorf,paudorf,pa,41.28,60.62,-3.87
austria_municipalities,Payerbach,payerbach,pa,33.16,50.32,-5.97
