name_clean,name_real
m_glen,Мъглен
m_drino,Мъдрино
m_rvodol,Мърводол
m_glene,Мъглене
m_drec,Мъдрец
m_rcevo,Мърчево
m_tenica,Мътеница
m_drevo,Мъдрево
m_glisa,Мъглища
m_rcaevo,Мърчаево
m_gliz,Мъглиж
