name_clean,name_real
sougy_sur_loire,Sougy-sur-Loire
soing_cubry_charentenay,Soing-Cubry-Charentenay
sorans_les_breurey,Sorans-lès-Breurey
sornay,Sornay
sommant,Sommant
sologny,Sologny
solutre_pouilly,Solutré-Pouilly
sommecaise,Sommecaise
sormery,Sormery
sougeres_en_puisaye,Sougères-en-Puisaye
soumaintrain,Soumaintrain
soucy,Soucy
sommervieu,Sommervieu
soignolles,Soignolles
soliers,Soliers
soulangy,Soulangy
soumont_saint_quentin,Soumont-Saint-Quentin
souleuvre_en_bocage,Souleuvre en Bocage
sourdeval,Sourdeval
sortosville_en_beaumont,Sortosville-en-Beaumont
sortosville,Sortosville
sottevast,Sottevast
sotteville,Sotteville
sourdeval_les_bois,Sourdeval-les-Bois
soulles,Soulles
soligny_la_trappe,Soligny-la-Trappe
sommery,Sommery
sommesnil,Sommesnil
sotteville_sur_mer,Sotteville-sur-Mer
sorquainville,Sorquainville
sotteville_les_rouen,Sotteville-lès-Rouen
sotteville_sous_le_val,Sotteville-sous-le-Val
sommelans,Sommelans
sons_et_roncheres,Sons-et-Ronchères
sommette_eaucourt,Sommette-Eaucourt
soissons,Soissons
soupir,Soupir
sommeron,Sommeron
sorbais,Sorbais
solre_le_chateau,Solre-le-Château
solrinnes,Solrinnes
solesmes,Solesmes
sommaing,Sommaing
somain,Somain
socx,Socx
sommereux,Sommereux
songeons,Songeons
solente,Solente
sombrin,Sombrin
souastre,Souastre
sorrus,Sorrus
souchez,Souchez
sorel_en_vimeu,Sorel-en-Vimeu
soues,Soues
sourdon,Sourdon
sorel,Sorel
soyecourt,Soyécourt
sormonne,Sormonne
son,Son
sorbon,Sorbon
sorcy_bauthemont,Sorcy-Bauthémont
sommauthe,Sommauthe
sommerance,Sommerance
soulaines_dhuys,Soulaines-Dhuys
soligny_les_etangs,Soligny-les-Étangs
sommeval,Sommeval
souligny,Souligny
sogny_aux_moulins,Sogny-aux-Moulins
somme_suippe,Somme-Suippe
somme_vesle,Somme-Vesle
souain_perthes_les_hurlus,Souain-Perthes-lès-Hurlus
soudron,Soudron
soulieres,Soulières
soizy_aux_bois,Soizy-aux-Bois
sogny_en_l_angle,Sogny-en-l'Angle
sommesous,Sommesous
sompuis,Sompuis
somsois,Somsois
songy,Songy
soude,Soudé
soulanges,Soulanges
somme_bionne,Somme-Bionne
sommepy_tahure,Sommepy-Tahure
somme_tourbe,Somme-Tourbe
somme_yevre,Somme-Yèvre
sommerecourt,Sommerécourt
soncourt_sur_marne,Soncourt-sur-Marne
soulaucourt_sur_mouzon,Soulaucourt-sur-Mouzon
soyers,Soyers
sommancourt,Sommancourt
sommevoire,Sommevoire
sommerviller,Sommerviller
sorneville,Sornéville
sommeilles,Sommeilles
sommelonne,Sommelonne
sorcy_saint_martin,Sorcy-Saint-Martin
sommedieue,Sommedieue
sorbey,Sorbey
souilly,Souilly
sotzeling,Sotzeling
soucht,Soucht
solgne,Solgne
soufflenheim,Soufflenheim
soultz_sous_forets,Soultz-sous-Forêts
solbach,Solbach
soultz_les_bains,Soultz-les-Bains
souffelweyersheim,Souffelweyersheim
sondersdorf,Sondersdorf
sondernach,Sondernach
soultzbach_les_bains,Soultzbach-les-Bains
soultzeren,Soultzeren
soppe_le_bas,Soppe-le-Bas
soultz_haut_rhin,Soultz-Haut-Rhin
soultzmatt,Soultzmatt
socourt,Socourt
soncourt,Soncourt
soulosse_sous_saint_elophe,Soulosse-sous-Saint-Élophe
soudan,Soudan
soulvache,Soulvache
soucelles,Soucelles
soulaines_sur_aubance,Soulaines-sur-Aubance
soulaire_et_bourg,Soulaire-et-Bourg
somloire,Somloire
souzay_champigny,Souzay-Champigny
soulge_sur_ouette,Soulgé-sur-Ouette
souce,Soucé
souligne_flace,Souligné-Flacé
souvigne_sur_sarthe,Souvigné-sur-Sarthe
souge_le_ganelon,Sougé-le-Ganelon
soulitre,Soulitré
souvigne_sur_meme,Souvigné-sur-Même
souille,Souillé
souligne_sous_ballon,Souligné-sous-Ballon
soullans,Soullans
sougeal,Sougéal
souffrignac,Souffrignac
soyaux,Soyaux
soubran,Soubran
soumeras,Souméras
sousmoulins,Sousmoulins
soubise,Soubise
soulignonne,Soulignonne
sonnac,Sonnac
soudaine_lavinadiere,Soudaine-Lavinadière
sornac,Sornac
soudeilles,Soudeilles
soursac,Soursac
sous_parsat,Sous-Parsat
soubrebost,Soubrebost
soumans,Soumans
soulaures,Soulaures
soudat,Soudat
sorges_et_ligueux_en_perigord,Sorges et Ligueux en Périgord
sourzac,Sourzac
soulignac,Soulignac
soussac,Soussac
soulac_sur_mer,Soulac-sur-Mer
soussans,Soussans
soorts_hossegor,Soorts-Hossegor
sorde_l_abbaye,Sorde-l'Abbaye
sort_en_chalosse,Sort-en-Chalosse
souprosse,Souprosse
soustons,Soustons
solferino,Solférino
sorbets,Sorbets
sore,Sore
soumensac,Soumensac
sos,Sos
souraide,Souraïde
soumoulou,Soumoulou
sompt,Sompt
soutiers,Soutiers
sossais,Sossais
sommieres_du_clain,Sommières-du-Clain
solignac,Solignac
sorgeat,Sorgeat
soula,Soula
sor,Sor
soueix_rogalle,Soueix-Rogalle
soulan,Soulan
souilhanels,Souilhanels
souilhe,Souilhe
soupex,Soupex
sonnac_sur_l_hers,Sonnac-sur-l'Hers
sougraigne,Sougraigne
soulatge,Soulatgé
soulages_bonneval,Soulages-Bonneval
soustelle,Soustelle
sommieres,Sommières
souvignargues,Souvignargues
soudorgues,Soudorgues
sode,Sode
soueich,Soueich
solomiac,Solomiac
sorbs,Sorbs
soubes,Soubès
soumont,Soumont
soturac,Soturac
sonac,Sonac
sousceyrac_en_quercy,Sousceyrac-en-Quercy
soucirac,Soucirac
souillac,Souillac
soulomes,Soulomès
soulom,Soulom
sost,Sost
sombrun,Sombrun
soreac,Soréac
soublecause,Soublecause
souyeaux,Souyeaux
sorede,Sorède
souanyas,Souanyas
sournia,Sournia
souel,Souel
soreze,Sorèze
soual,Soual
souclin,Souclin
sonthonnax_la_montagne,Sonthonnax-la-Montagne
souvigny,Souvigny
sorbier,Sorbier
soyons,Soyons
sourniac,Sourniac
soulages,Soulages
solaure_en_diois,Solaure en Diois
soyans,Soyans
solerieux,Solérieux
souspierre,Souspierre
sousville,Sousville
soleymieu,Soleymieu
sonnay,Sonnay
soleymieux,Soleymieux
souternon,Souternon
sorbiers,Sorbiers
solignac_sur_loire,Solignac-sur-Loire
solignac_sous_roche,Solignac-sous-Roche
solignat,Solignat
soucieu_en_jarrest,Soucieu-en-Jarrest
sourcieux_les_mines,Sourcieux-les-Mines
souzy,Souzy
solaize,Solaize
sonnaz,Sonnaz
soleilhas,Soleilhas
sourribes,Sourribes
sospel,Sospel
sollies_pont,Solliès-Pont
sollies_toucas,Solliès-Toucas
sollies_ville,Solliès-Ville
sorgues,Sorgues
soccia,Soccia
sollacaro,Sollacaro
sorbollano,Sorbollano
sotta,Sotta
solaro,Solaro
sorbo_ocagnano,Sorbo-Ocagnano
soveria,Soveria
sorio,Sorio
sokolovac,Sokolovac
sopje,Sopje
