category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Ried im Innkreis,ried_im_innkreis,ri,53.63,61.45,70.01
austria_municipalities,Ried im Oberinntal,ried_im_oberinntal,ri,37.39,59.54,86.5
austria_municipalities,Ried im Traunkreis,ried_im_traunkreis,ri,56.1,58.37,62.96
austria_municipalities,Ried im Zillertal,ried_im_zillertal,ri,19.2,41.7,71.65
austria_municipalities,Ried in der Riedmark,ried_in_der_riedmark,ri,44.71,50.4,45.76
austria_municipalities,Riedau,riedau,ri,42.54,65.41,-5.86
austria_municipalities,Riedlingsdorf,riedlingsdorf,ri,60.22,73.21,63.77
austria_municipalities,Riefensberg,riefensberg,ri,46.38,58.69,30.77
austria_municipalities,Riegersburg,riegersburg,ri,52.93,62.32,87.17
austria_municipalities,Rietz,rietz,ri,65.06,78.67,83.84
austria_municipalities,Ringelsdorf-Niederabsdorf,ringelsdorf_niederabsdorf,ri,52.67,66.95,30.45
austria_municipalities,Rinn,rinn,ri,34.11,54.56,93.99
austria_municipalities,Ritzing,ritzing,ri,32.02,66.52,77.72
