name_clean,name_real
fetigny,Fétigny
fechy,Féchy
ferez,Férez
fericy,Féricy
ferolles_attilly,Férolles-Attilly
ferolles,Férolles
fenay,Fénay
fedry,Fédry
fecamp,Fécamp
feron,Féron
fechain,Féchain
ferin,Férin
fepin,Fépin
fecocourt,Fécocourt
fenetrange,Fénétrange
fey,Féy
fegreac,Fégréac
ferel,Férel
feniers,Féniers
fenery,Fénery
felines_termenes,Félines-Termenès
felines_minervois,Félines-Minervois
fenols,Fénols
feneyrols,Féneyrols
felines,Félines
felines_sur_rimandoule,Félines-sur-Rimandoule
feternes,Féternes
fenyeslitke,Fényeslitke
fenis,Fénis
