category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Lukovany,lukovany,lu,40.51,64.44,19.86
europe_lau,Lukavice,lukavice,lu,49.21,69.16,55.08
europe_lau,Lupenice,lupenice,lu,48.78,75.87,54.05
europe_lau,Lubná,lubna,lu,40.56,61.45,-8.11
europe_lau,Lubě,lube,lu,38.95,51.74,66.27
europe_lau,Luleč,lulec,lu,53.79,74.86,48.12
europe_lau,Ludkovice,ludkovice,lu,32.23,52.64,93.75
europe_lau,Luhačovice,luhacovice,lu,45.83,63.43,2.1
europe_lau,Lukov,lukov,lu,50.53,61.57,87.95
europe_lau,Lutonina,lutonina,lu,36.26,45.15,52.06
europe_lau,Lužice,luzice,lu,57.83,77.87,67.96
europe_lau,Luka nad Jihlavou,luka_nad_jihlavou,lu,42.05,54.82,77.39
europe_lau,Lubník,lubnik,lu,56.16,85.57,48.19
europe_lau,Lukavice,lukavice,lu,49.42,66.49,-2.91
europe_lau,Luková,lukova,lu,61.46,65.5,80.29
europe_lau,Lubná,lubna,lu,26.5,49.17,96.77
europe_lau,Ludslavice,ludslavice,lu,62.93,82.92,55.31
europe_lau,Lutopecny,lutopecny,lu,58.96,64.23,76.09
europe_lau,Luftenberg an der Donau,luftenberg_an_der_donau,lu,39.79,67.54,96.45
europe_lau,Lučina,lucina,lu,42.59,55.31,90.16
europe_lau,Luboměř,lubomer,lu,46.52,73.96,48.7
europe_lau,"Lübeck, Hansestadt",lubeck_hansestadt,lu,30.65,50.11,48.42
europe_lau,Lunden,lunden,lu,42.04,67.9,-13.55
europe_lau,Lubnice,lubnice,lu,60.38,69.53,42.8
europe_lau,Lukov,lukov,lu,64.91,69.66,76.06
europe_lau,Ludmírov,ludmirov,lu,44.41,59.41,85.44
europe_lau,Lubné,lubne,lu,56.12,61.26,72.71
europe_lau,Lüchow,luchow,lu,40.64,71.36,69.99
europe_lau,Lütau,lutau,lu,40.91,48.19,51.68
europe_lau,Lütjenholm,lutjenholm,lu,69.28,75.18,60.77
europe_lau,"Lütjenburg, Stadt",lutjenburg_stadt,lu,45.29,55.47,16.2
europe_lau,Lutterbek,lutterbek,lu,58.4,59.22,50.46
europe_lau,Lütjenwestedt,lutjenwestedt,lu,53.37,65.17,82.41
europe_lau,Luhnstedt,luhnstedt,lu,41.78,62.58,97.02
europe_lau,Lutzhorn,lutzhorn,lu,58.74,66.91,70.38
europe_lau,"Lutter am Barenberge, Flecken",lutter_am_barenberge_flecken,lu,49.4,72.39,22.46
europe_lau,Lürschau,lurschau,lu,37.31,54.57,-17.54
europe_lau,Lüerdissen,luerdissen,lu,29.86,44.97,87.06
europe_lau,Lüdersfeld,ludersfeld,lu,34.2,65.47,92.94
europe_lau,Luhden,luhden,lu,50.29,60.75,30.12
europe_lau,Lütjensee,lutjensee,lu,53.93,65.13,68.07
europe_lau,"Lünen, Stadt",lunen_stadt,lu,51.09,62.15,11.11
europe_lau,Lüder,luder,lu,42.68,64.9,10.17
europe_lau,Lütetsburg,lutetsburg,lu,36.09,69.95,87.12
europe_lau,Lünne,lunne,lu,35.02,47.03,34.99
europe_lau,Luckau (Wendland),luckau_wendland,lu,42.94,58.16,63.22
europe_lau,Lübbow,lubbow,lu,50.11,65.26,6.19
europe_lau,"Lüchow (Wendland), Stadt",luchow_wendland_stadt,lu,56.33,63.07,51
europe_lau,Lüdersburg,ludersburg,lu,56.88,62.76,29.1
europe_lau,"Lüneburg, Hansestadt",luneburg_hansestadt,lu,51.41,57.79,40.3
europe_lau,Lübberstedt,lubberstedt,lu,51.28,71.61,17.32
europe_lau,"Lüdinghausen, Stadt",ludinghausen_stadt,lu,48.81,63.25,3.21
europe_lau,"Lügde, Stadt der Osterräder",lugde_stadt_der_osterrader,lu,48.31,68.01,78.94
