category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Valchov,valchov,va,43.64,69.43,14.4
europe_lau,Vanovice,vanovice,va,52.55,68.26,13.86
europe_lau,Vavřinec,vavrinec,va,41.4,51.27,89.64
europe_lau,Vážany,vazany,va,29.49,53.97,96.31
europe_lau,Valy,valy,va,36.91,65.51,15.96
europe_lau,Vápno,vapno,va,35.42,60.62,96.15
europe_lau,Val,val,va,55.9,80.84,77.46
europe_lau,Vamberk,vamberk,va,60.82,65.93,41.95
europe_lau,Vápenice,vapenice,va,50.65,70.96,62.16
europe_lau,Vážany,vazany,va,33.3,54.24,86.53
europe_lau,Valtice,valtice,va,42.67,62.89,-5.17
europe_lau,Valašské Klobouky,valasske_klobouky,va,57.88,69.22,61.02
europe_lau,Vacenovice,vacenovice,va,39.92,60.61,73.72
europe_lau,Valdíkov,valdikov,va,48.31,59.85,31.08
europe_lau,Vanov,vanov,va,51.12,72.86,9.87
europe_lau,Vanůvek,vanuvek,va,63.4,80.63,75.64
europe_lau,Vápovice,vapovice,va,19.86,47.77,-12.75
europe_lau,Valeč,valec,va,38.27,63.05,34.18
europe_lau,Vatín,vatin,va,65.27,75.41,61.34
europe_lau,Václavov u Bruntálu,vaclavov_u_bruntalu,va,38.83,63.76,65.61
europe_lau,Václavovice,vaclavovice,va,54.26,67.11,33.36
europe_lau,Vážany,vazany,va,72.44,75.97,49.16
europe_lau,Vážany nad Litavou,vazany_nad_litavou,va,43.07,57.52,96.8
europe_lau,Valtrovice,valtrovice,va,49.71,76.38,94.34
europe_lau,Vahlberg,vahlberg,va,35.18,55.44,42.37
europe_lau,Varrel,varrel,va,50.12,56.15,53.51
europe_lau,Vahlbruch,vahlbruch,va,47.43,56.57,48.03
europe_lau,Vahlde,vahlde,va,30.2,51.44,66.33
europe_lau,Vaale,vaale,va,28.05,64.56,-84.06
europe_lau,Vaalermoor,vaalermoor,va,29.77,53.92,5.07
europe_lau,Vastorf,vastorf,va,51.62,61.02,22.71
europe_lau,"Varel, Stadt",varel_stadt,va,55.76,68.58,76.86
europe_lau,Valwig,valwig,va,30.37,59.9,-29.57
europe_lau,"Vallendar, Stadt",vallendar_stadt,va,43.2,58.93,25.99
europe_lau,Vasoldsberg,vasoldsberg,va,39.69,64.94,68.39
europe_lau,"Vaihingen an der Enz, Stadt",vaihingen_an_der_enz_stadt,va,34.54,50.39,92.62
europe_lau,Vals,vals,va,39.37,63.03,-35.81
europe_lau,Valley,valley,va,37.09,55.02,97.34
europe_lau,Vaterstetten,vaterstetten,va,67.56,69,65.01
europe_lau,Vachendorf,vachendorf,va,57.81,66.06,38.39
europe_lau,Vachdorf,vachdorf,va,48.34,68.73,84.06
europe_lau,"Vacha, Stadt",vacha_stadt,va,29.71,54.03,90.18
europe_lau,Vandans,vandans,va,33.8,61.79,15.49
europe_lau,Vallensbæk,vallensbaek,va,35.9,75.88,74.84
europe_lau,Varde,varde,va,52.6,58.52,29.33
europe_lau,Valdelacasa de Tajo,valdelacasa_de_tajo,va,37.18,46.84,89.31
europe_lau,Valdemorales,valdemorales,va,60.55,67.45,48.73
europe_lau,Valdeobispo,valdeobispo,va,43.26,65.45,52.51
europe_lau,Valencia de Alcántara,valencia_de_alcantara,va,44.52,59,74.06
europe_lau,Valverde de la Vera,valverde_de_la_vera,va,21.72,54.22,76.36
europe_lau,Valverde del Fresno,valverde_del_fresno,va,54.71,63.94,82.61
europe_lau,Valdelacalzada,valdelacalzada,va,48.87,77.23,-22.88
europe_lau,Valldemossa,valldemossa,va,47.26,53.1,64.5
europe_lau,Valle de Trápaga-Trapagaran,valle_de_trapaga_trapagaran,va,54.72,75.62,65.3
europe_lau,Valdegovía,valdegovia,va,49.18,59.23,42
europe_lau,Valdefuentes del Páramo,valdefuentes_del_paramo,va,52.6,73.77,97.6
europe_lau,Valdelugueros,valdelugueros,va,58.27,67.36,81.38
europe_lau,Valdemora,valdemora,va,29.74,54.98,67.49
europe_lau,Valdepiélago,valdepielago,va,48.31,65.5,54.04
europe_lau,Valdepolo,valdepolo,va,41.16,64.56,52.76
europe_lau,Valderas,valderas,va,55.68,75.42,60.96
europe_lau,Valderrey,valderrey,va,37.61,54.55,28.58
europe_lau,Valderrueda,valderrueda,va,57.28,62.59,70.16
europe_lau,Valdesamario,valdesamario,va,20.22,62.99,-135.34
europe_lau,Val de San Lorenzo,val_de_san_lorenzo,va,38.38,55.78,58.78
europe_lau,Valdevimbre,valdevimbre,va,47.94,56.36,56.06
europe_lau,Valencia de Don Juan,valencia_de_don_juan,va,48.72,61.47,76.72
europe_lau,Valverde de la Virgen,valverde_de_la_virgen,va,61.43,69.16,55.11
europe_lau,Valverde-Enrique,valverde_enrique,va,54.68,72.62,65.19
europe_lau,Vallecillo,vallecillo,va,34.16,50.62,55.13
europe_lau,"Valle de Altomira, El",valle_de_altomira_el,va,43.84,77.79,93.29
europe_lau,Vadocondes,vadocondes,va,60.83,64.69,49.43
europe_lau,Valdeande,valdeande,va,43.92,68.28,77.82
europe_lau,Valdezate,valdezate,va,53.01,63.7,85.23
europe_lau,Valmala,valmala,va,42.37,67.31,97.59
europe_lau,Vallarta de Bureba,vallarta_de_bureba,va,30.85,66.54,29.64
