name_clean,name_real
smarje,Šmarje
smartno,Šmartno
smarjeta_pri_celju,Šmarjeta pri Celju
smartno_v_rozni_dolini,Šmartno v Rožni dolini
smiklavz_pri_skofji_vasi,Šmiklavž pri Škofji vasi
smarje_sap,Šmarje-Sap
smarca,Šmarca
smartno_v_tuhinju,Šmartno v Tuhinju
smihel,Šmihel
smohor,Šmohor
smarata,Šmarata
smihel_nad_mozirjem,Šmihel nad Mozirjem
smartno_ob_dreti,Šmartno ob Dreti
smaver,Šmaver
smihel_pod_nanosom,Šmihel pod Nanosom
smarcna,Šmarčna
smarje_pri_sezani,Šmarje pri Sežani
smartno_pri_slovenj_gradcu,Šmartno pri Slovenj Gradcu
smiklavz,Šmiklavž
smartno_na_pohorju,Šmartno na Pohorju
smalcja_vas,Šmalčja vas
smarje_pri_jelsah,Šmarje pri Jelšah
smartno_ob_paki,Šmartno ob Paki
smartinske_cirkovce,Šmartinske Cirkovce
smatevz,Šmatevž
smihel_pri_zuzemberku,Šmihel pri Žužemberku
smartno_pri_litiji,Šmartno pri Litiji
smarjeske_toplice,Šmarješke Toplice
smarjeta,Šmarjeta
smigovec,Šmigovec
