category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Borovnice,borovnice,bo,40.2,61.93,22.9
europe_lau,Borek,borek,bo,57.44,70.03,86.63
europe_lau,Bohdašín,bohdasin,bo,39.28,49.25,68.89
europe_lau,Bolehošť,bolehost,bo,55.39,60.86,56.49
europe_lau,Borohrádek,borohradek,bo,54.81,66.22,46.19
europe_lau,Borovnice,borovnice,bo,40.08,61.02,39.9
europe_lau,Bozkov,bozkov,bo,60.69,65.09,50.69
europe_lau,Bohuňov,bohunov,bo,39.53,59.02,3.11
europe_lau,Bohuňovice,bohunovice,bo,45.25,64.82,12.66
europe_lau,Borová,borova,bo,55.13,74.34,76.72
europe_lau,Bohaté Málkovice,bohate_malkovice,bo,55.5,71.27,35.76
europe_lau,Bohdalice-Pavlovice,bohdalice_pavlovice,bo,36.32,58.03,67.27
europe_lau,Bošovice,bosovice,bo,41.13,57.01,-17.87
europe_lau,Boleradice,boleradice,bo,62.15,71.24,49.8
europe_lau,Borkovany,borkovany,bo,59.67,70.71,31.59
europe_lau,Bořetice,boretice,bo,35.41,57.78,85.58
europe_lau,Bohuslavice u Zlína,bohuslavice_u_zlina,bo,58.73,74.76,43.22
europe_lau,Bohuslavice,bohuslavice,bo,25.17,46.27,37.53
europe_lau,Boršov,borsov,bo,58.48,67.42,54.53
europe_lau,Borovná,borovna,bo,57.35,67.99,43.33
europe_lau,Borotín,borotin,bo,59.06,72.09,4.27
europe_lau,Bořitov,boritov,bo,61.47,69.41,47.03
europe_lau,Boskovice,boskovice,bo,39.58,49.07,30.09
europe_lau,Bohuslavice,bohuslavice,bo,39.37,54.65,93.75
europe_lau,Bousín,bousin,bo,47.2,73.21,51.7
europe_lau,Bojkovice,bojkovice,bo,27.8,58.63,83.41
europe_lau,Boršice u Blatnice,borsice_u_blatnice,bo,46.32,55.51,64.05
europe_lau,Boršice,borsice,bo,47.63,64.49,13.03
europe_lau,Bochovice,bochovice,bo,50.19,58.47,23.88
europe_lau,Bohušov,bohusov,bo,56.79,66.15,17.7
europe_lau,Borovany,borovany,bo,73.48,77.3,47.35
europe_lau,Bohumín,bohumin,bo,48.01,58.78,76.5
europe_lau,Börnsen,bornsen,bo,48.41,63.21,74.36
europe_lau,Borstorf,borstorf,bo,51.79,64.44,47.26
europe_lau,Bohutice,bohutice,bo,41.96,71.44,78.81
europe_lau,Bojanovice,bojanovice,bo,60.99,66.74,42.74
europe_lau,Borotice,borotice,bo,44.3,76.51,74.71
europe_lau,Boskovštejn,boskovstejn,bo,36.04,51.26,16.34
europe_lau,Božice,bozice,bo,50.26,59.06,28.15
europe_lau,Bokelrehm,bokelrehm,bo,50.88,67.76,45.49
europe_lau,Bokhorst,bokhorst,bo,62.58,77.23,48.57
europe_lau,Borsfleth,borsfleth,bo,41.75,56.59,34.03
europe_lau,Bobrová,bobrova,bo,46.36,65.94,86.14
europe_lau,Bobrůvka,bobruvka,bo,46.06,67.42,20.9
europe_lau,Bohdalec,bohdalec,bo,57.87,67.86,51.78
europe_lau,Bohdalov,bohdalov,bo,45.59,59.82,74.59
europe_lau,Bohuňov,bohunov,bo,61.64,73.89,60.48
europe_lau,Borač,borac,bo,47,54.11,50.5
europe_lau,Borovnice,borovnice,bo,45.8,57.55,47.81
europe_lau,Borovník,borovnik,bo,66.15,78.76,43.25
europe_lau,Bory,bory,bo,60.45,69.33,43.59
europe_lau,Bohmstedt,bohmstedt,bo,45.86,72.14,5.26
europe_lau,Bondelum,bondelum,bo,54.33,73.56,72.02
europe_lau,Bordelum,bordelum,bo,37.68,52.62,8.03
