name_clean,name_real
suderhastedt,Süderhastedt
suderdorf,Süderdorf
suderheistedt,Süderheistedt
suderdeich,Süderdeich
suderende,Süderende
suderlugum,Süderlügum
suderhoft,Süderhöft
sudermarsch,Südermarsch
susel,Süsel
suderhackstedt,Süderhackstedt
suderbrarup,Süderbrarup
suderfahrenstedt,Süderfahrenstedt
suderstapel,Süderstapel
sulfeld,Sülfeld
suderau,Süderau
supplingen,Süpplingen
supplingenburg,Süpplingenburg
sudheide,Südheide
sudergellersen,Südergellersen
sudbrookmerland,Südbrookmerland
sudlohn,Südlohn
sulm,Sülm
sussen,Süßen
sunching,Sünching
suderholz,Süderholz
sulstorf,Sülstorf
sudliches_anhalt,Südliches Anhalt
sulzetal,Sülzetal
sudharz,Südharz
sudeichsfeld,Südeichsfeld
sulzfeld,Sülzfeld
sulysap,Sülysáp
sutto,Süttő
sumegpraga,Sümegprága
sumeg,Sümeg
sumegcsehi,Sümegcsehi
sukosd,Sükösd
