category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Quiruelas de Vidriales,quiruelas_de_vidriales,qu,42.81,55.54,16.34
europe_lau,Quesada,quesada,qu,38.13,45.47,82.31
europe_lau,Quero,quero,qu,63.93,80.49,42.57
europe_lau,Quintanar de la Orden,quintanar_de_la_orden,qu,41.21,53.19,29.5
europe_lau,Quismondo,quismondo,qu,46.1,57.17,36.06
europe_lau,Quintanilla de Arriba,quintanilla_de_arriba,qu,41.1,56.07,25.94
europe_lau,Quintanilla del Molar,quintanilla_del_molar,qu,59.61,68.13,59.07
europe_lau,Quintanilla de Onésimo,quintanilla_de_onesimo,qu,39.74,58.36,19.82
europe_lau,Quintanilla de Trigueros,quintanilla_de_trigueros,qu,46.89,65.78,23.74
europe_lau,Quierzy,quierzy,qu,42.78,68.95,88.93
europe_lau,Quincy-Basse,quincy_basse,qu,52.32,62.59,83.18
europe_lau,Quincy-sous-le-Mont,quincy_sous_le_mont,qu,39.04,54.97,38.37
europe_lau,Quintela de Leirado,quintela_de_leirado,qu,36.48,54.93,98.75
europe_lau,Quézac,quezac,qu,49.35,63.13,81.19
europe_lau,Quel,quel,qu,24.19,52.88,82.23
europe_lau,Quintana del Castillo,quintana_del_castillo,qu,56.24,61.93,43.2
europe_lau,Quintana del Marco,quintana_del_marco,qu,46.04,57.66,25.89
europe_lau,Quintana y Congosto,quintana_y_congosto,qu,32.64,58.72,-63.96
europe_lau,Quirós,quiros,qu,34.89,61.7,96.2
europe_lau,Quevilloncourt,quevilloncourt,qu,51.02,73.26,17.39
europe_lau,Quesmy,quesmy,qu,69.89,79.93,71.49
europe_lau,Quincampoix-Fleuzy,quincampoix_fleuzy,qu,44.34,63.92,52.33
europe_lau,Quinquempoix,quinquempoix,qu,68.84,78.51,38.78
europe_lau,Quissac,quissac,qu,44.22,71.37,99.66
europe_lau,Quettehou,quettehou,qu,45.89,61.26,47.41
europe_lau,Quettreville-sur-Sienne,quettreville_sur_sienne,qu,38.53,55.53,5.82
europe_lau,Quibou,quibou,qu,52.16,70.24,87.48
europe_lau,Quinéville,quineville,qu,36.78,71.63,-81.06
europe_lau,Quiers-sur-Bézonde,quiers_sur_bezonde,qu,47.15,50.34,54.19
europe_lau,Quilly,quilly,qu,57.14,70.59,55.6
europe_lau,Quelaines-Saint-Gault,quelaines_saint_gault,qu,56.5,58.91,42.89
europe_lau,Queuille,queuille,qu,54.35,61.89,54.02
europe_lau,Queyrières,queyrieres,qu,54.22,69.1,57.62
europe_lau,Queudes,queudes,qu,51.67,66.42,7.23
europe_lau,Queyrac,queyrac,qu,52.45,64.04,63.47
europe_lau,Quinsac,quinsac,qu,59.17,72.63,37.9
europe_lau,Quarante,quarante,qu,45.22,56.65,88.81
europe_lau,Quissac,quissac,qu,54.88,59.29,52.66
europe_lau,Queyssac-les-Vignes,queyssac_les_vignes,qu,52.33,65.52,71.7
europe_lau,Quintigny,quintigny,qu,53.72,66.82,33.06
europe_lau,Quercitello,quercitello,qu,17.51,35,-12.27
europe_lau,Quéménéven,quemeneven,qu,39.19,60.85,-26.46
europe_lau,Querrien,querrien,qu,50.81,61.34,32.42
europe_lau,Quimper,quimper,qu,45.88,63.64,71.91
europe_lau,Quimperlé,quimperle,qu,53.59,67.06,52.93
europe_lau,Quint-Fonsegrives,quint_fonsegrives,qu,34.53,65.83,-16.26
europe_lau,Quemper-Guézennec,quemper_guezennec,qu,47.91,60.21,15.35
europe_lau,Quemperven,quemperven,qu,75.2,78.3,58.46
europe_lau,Quessoy,quessoy,qu,58.14,64.49,47.97
europe_lau,Quévert,quevert,qu,53.44,70.43,83.21
europe_lau,Quintenic,quintenic,qu,52.74,65.86,52.06
europe_lau,Quintin,quintin,qu,53.24,64.6,29.16
europe_lau,Quinto,quinto,qu,46.07,73.24,54.42
europe_lau,Quasquara,quasquara,qu,41.59,58.51,70.15
europe_lau,Quenza,quenza,qu,33.64,56.73,41.07
europe_lau,Québriac,quebriac,qu,73.07,77,51.88
europe_lau,Quédillac,quedillac,qu,63.67,72.65,17.3
europe_lau,Quaix-en-Chartreuse,quaix_en_chartreuse,qu,55.62,67.6,78.27
europe_lau,Quet-en-Beaumont,quet_en_beaumont,qu,53.77,66.4,52.65
europe_lau,Quincieu,quincieu,qu,45.75,66.17,21.35
europe_lau,Quincié-en-Beaujolais,quincie_en_beaujolais,qu,53.56,65.23,80.91
europe_lau,Quincieux,quincieux,qu,65.3,70.93,30.63
europe_lau,Queaux,queaux,qu,53.47,64.62,82.3
europe_lau,Quinçay,quincay,qu,60.9,73.29,46.27
europe_lau,Quend,quend,qu,45.55,52.66,52.02
