name_clean,name_real
heiligenbrunn,Heiligenbrunn
heugraben,Heugraben
heiligenkreuz_im_lafnitztal,Heiligenkreuz im Lafnitztal
hermagor_pressegger_see,Hermagor-Pressegger See
heiligenblut_am_grossglockner,Heiligenblut am Großglockner
heiligenkreuz,Heiligenkreuz
hernstein,Hernstein
heidenreichstein,Heidenreichstein
heldenberg,Heldenberg
herrnbaumgarten,Herrnbaumgarten
hennersdorf,Hennersdorf
herzogenburg,Herzogenburg
helpfau_uttendorf,Helpfau-Uttendorf
heiligenberg,Heiligenberg
helfenberg,Helfenberg
hellmonsodt,Hellmonsödt
herzogsdorf,Herzogsdorf
henndorf_am_wallersee,Henndorf am Wallersee
heimschuh,Heimschuh
hengsberg,Hengsberg
heiligenkreuz_am_waasen,Heiligenkreuz am Waasen
heinfels,Heinfels
heiterwang,Heiterwang
hemiksem,Hemiksem
