name_clean,name_real
gaiceana,Găiceana
galbinasi,Gălbinaşi
gaesti,Găeşti
gaiseni,Găiseni
gaujani,Găujani
galautas,Gălăuţaş
ganeasa,Găneasa
galesti,Găleşti
ganesti,Găneşti
gavanesti,Găvăneşti
galanesti,Gălăneşti
galateni,Gălăteni
gataia,Gătaia
gagesti,Găgeşti
