category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Gallspach,gallspach,ga,46.68,65.5,68
europe_lau,Gaspoltshofen,gaspoltshofen,ga,61.21,67.6,25.02
europe_lau,Gaushorn,gaushorn,ga,34.95,59.39,74.17
europe_lau,Gampern,gampern,ga,58.93,70.24,69.77
europe_lau,"Garding, Kirchspiel",garding_kirchspiel,ga,53.41,59.93,59.59
europe_lau,"Garding, Stadt",garding_stadt,ga,53.21,73.34,-5.26
europe_lau,Gammelby,gammelby,ga,44.17,71.91,49.04
europe_lau,Gallneukirchen,gallneukirchen,ga,72.03,66.9,49.45
europe_lau,Galmsbüll,galmsbull,ga,55.24,64.49,67.27
europe_lau,Gaflenz,gaflenz,ga,69.47,67.83,49.59
europe_lau,Garsten,garsten,ga,36,52.75,51.85
europe_lau,"Garbsen, Stadt",garbsen_stadt,ga,66.24,72.6,61.62
europe_lau,Gandesbergen,gandesbergen,ga,21.56,37.91,-48.21
europe_lau,Garrel,garrel,ga,54.48,66.12,71.45
europe_lau,Garlstorf,garlstorf,ga,42.42,58.24,30.64
europe_lau,Garstedt,garstedt,ga,36.68,60.56,-29.49
europe_lau,"Gartow, Flecken",gartow_flecken,ga,33.33,50.23,98.47
europe_lau,"Gartow, gemfr. Gebiet",gartow_gemfr_gebiet,ga,26.73,47.07,51.91
europe_lau,Gangelt,gangelt,ga,55.54,64.92,70.42
europe_lau,Gattendorf,gattendorf,ga,29.24,54.16,52.82
europe_lau,Galenberg,galenberg,ga,50.92,73.3,76.9
europe_lau,Ganderkesee,ganderkesee,ga,53.74,62.58,79.46
europe_lau,Gaishorn am See,gaishorn_am_see,ga,45.15,63.33,82.36
europe_lau,Gamlen,gamlen,ga,53.52,71.35,81.13
europe_lau,Gabersdorf,gabersdorf,ga,28.93,66.98,97.91
europe_lau,Gappenach,gappenach,ga,53.35,70.74,28.05
europe_lau,Gamlitz,gamlitz,ga,60.43,63.98,68.86
europe_lau,Gaal,gaal,ga,59.76,77.05,33.98
europe_lau,Gauersheim,gauersheim,ga,36.02,51.68,69.79
europe_lau,Gaugrehweiler,gaugrehweiler,ga,32.57,51.37,34.95
europe_lau,Gackenbach,gackenbach,ga,33.77,40.5,30.19
europe_lau,Gabsheim,gabsheim,ga,64.59,77.15,45.11
europe_lau,Gau-Bickelheim,gau_bickelheim,ga,66.98,72.83,62.85
europe_lau,Gau-Heppenheim,gau_heppenheim,ga,42.75,59.24,21.91
europe_lau,Gau-Odernheim,gau_odernheim,ga,57.2,64.6,51.17
europe_lau,Gau-Weinheim,gau_weinheim,ga,62.23,70.65,72.34
europe_lau,Gammelshausen,gammelshausen,ga,35.35,80.29,84.06
europe_lau,Gasen,gasen,ga,69.4,72.21,46.07
europe_lau,"Gau-Algesheim, Stadt",gau_algesheim_stadt,ga,53.37,73.38,81.51
europe_lau,Gau-Bischofsheim,gau_bischofsheim,ga,56.23,73.5,63.7
europe_lau,Gärtringen,gartringen,ga,29.3,54.95,-18.99
europe_lau,Gäufelden,gaufelden,ga,49.69,66.34,-6.45
europe_lau,Gaienhofen,gaienhofen,ga,49.06,61.18,71.52
europe_lau,Gailingen am Hochrhein,gailingen_am_hochrhein,ga,42.12,74.38,25.71
europe_lau,"Gaildorf, Stadt",gaildorf_stadt,ga,59.38,66.27,73.83
europe_lau,"Gaggenau, Stadt",gaggenau_stadt,ga,51.17,65.98,62.97
europe_lau,Gaiberg,gaiberg,ga,47.19,57.86,63.92
europe_lau,"Gangkofen, M",gangkofen_m,ga,63.73,65.86,57.97
europe_lau,"Garmisch-Partenkirchen, M",garmisch_partenkirchen_m,ga,37.08,48.22,4.44
europe_lau,"Gammertingen, Stadt",gammertingen_stadt,ga,41.58,59.91,-14.2
europe_lau,Garching a.d.Alz,garching_a_d_alz,ga,60.43,69.56,64.79
europe_lau,Gaißach,gaissach,ga,44.92,58.73,56.49
europe_lau,"Gaimersheim, M",gaimersheim_m,ga,53.9,77.53,92.47
europe_lau,Gammelsdorf,gammelsdorf,ga,46.63,64.58,74.66
europe_lau,"Gars a.Inn, M",gars_a_inn_m,ga,43.68,63.29,0.33
europe_lau,"Garching b.München, St",garching_b_munchen_st,ga,48.24,70.4,55.19
europe_lau,Gachenbach,gachenbach,ga,43.49,63.69,77.13
europe_lau,Gauting,gauting,ga,50.66,67.41,20.24
europe_lau,"Gadebusch, Stadt",gadebusch_stadt,ga,54.58,56.58,62.07
europe_lau,Gägelow,gagelow,ga,34.26,54.48,54.82
europe_lau,Gablenz / Jabłońc,gablenz_jablonc,ga,50.38,68.02,11.18
europe_lau,Gablingen,gablingen,ga,42.42,61.29,-12.41
europe_lau,Garz,garz,ga,49.17,67.45,52.29
europe_lau,Galtür,galtur,ga,59.13,69.03,84.14
europe_lau,Ganshoren,ganshoren,ga,47.84,71.14,22.53
europe_lau,Gangloffsömmern,gangloffsommern,ga,53.1,73.32,-11.36
europe_lau,"Gardelegen, Hansestadt",gardelegen_hansestadt,ga,52.63,64.08,22.15
europe_lau,Gaschurn,gaschurn,ga,48.5,58.22,89.2
europe_lau,Galmaarden,galmaarden,ga,54.67,68.67,33.76
europe_lau,Gauern,gauern,ga,44.81,61.78,26.77
europe_lau,Garzau-Garzin,garzau_garzin,ga,38.85,59.4,-22.05
europe_lau,Gádor,gador,ga,22.06,51.6,95.2
europe_lau,"Gallardos, Los",gallardos_los,ga,36.74,47.51,46.51
europe_lau,Garrucha,garrucha,ga,49.68,67.42,95.08
europe_lau,Gallegos de Altamiros,gallegos_de_altamiros,ga,64.69,74.73,64.75
europe_lau,Gallegos de Sobrinos,gallegos_de_sobrinos,ga,44.68,57.67,23.69
europe_lau,Garganta del Villar,garganta_del_villar,ga,63.51,66.87,71.83
europe_lau,Gavilanes,gavilanes,ga,24.86,54.14,97.37
europe_lau,Galdakao,galdakao,ga,30.91,37.56,75.62
europe_lau,Galdames,galdames,ga,44.19,60.9,42.92
