category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Natternbach,natternbach,na,51.16,60.44,79.45
europe_lau,Napajedla,napajedla,na,34.49,56.75,97.94
europe_lau,Návojná,navojna,na,33.48,56.44,98.35
europe_lau,Násedlovice,nasedlovice,na,50.71,66.68,83.25
europe_lau,Nasavrky,nasavrky,na,39.63,68.41,-3.92
europe_lau,Nadějov,nadejov,na,53.39,66.31,29.1
europe_lau,Naarn im Machlande,naarn_im_machlande,na,45.85,62.97,51.48
europe_lau,Náměšť nad Oslavou,namest_nad_oslavou,na,37.71,52.3,61.04
europe_lau,Nárameč,naramec,na,49.48,57.99,76.59
europe_lau,Našiměřice,nasimerice,na,52.03,65.74,47.82
europe_lau,Nahe,nahe,na,41.07,65,94.89
europe_lau,Natendorf,natendorf,na,60.67,67.09,73.49
europe_lau,Nahrendorf,nahrendorf,na,57.8,73.04,7.02
europe_lau,Nachrodt-Wiblingwerde,nachrodt_wiblingwerde,na,54.58,63.67,86.25
europe_lau,Nauheim,nauheim,na,26.29,59.46,9.09
europe_lau,Nauroth,nauroth,na,45.01,59.42,88.21
europe_lau,"Naumburg, Stadt",naumburg_stadt,na,49.63,67.82,89.35
europe_lau,Nachtsheim,nachtsheim,na,56.31,68.14,43.56
europe_lau,Naunheim,naunheim,na,32.13,59.19,-3.36
europe_lau,Nannhausen,nannhausen,na,44.64,57.47,54.14
europe_lau,"Nassau, Stadt",nassau_stadt,na,46,59.32,87.97
europe_lau,"Nastätten, Stadt",nastatten_stadt,na,53.35,59.5,35.87
europe_lau,Nasingen,nasingen,na,62.71,71.33,44.37
europe_lau,Nattenheim,nattenheim,na,41.71,53.06,85.61
europe_lau,Nauort,nauort,na,52.71,73.31,64.31
europe_lau,Naas,naas,na,42.49,50.52,62.17
europe_lau,Naurath (Eifel),naurath_eifel,na,39.51,65.77,70.82
europe_lau,Naurath (Wald),naurath_wald,na,47.27,60.57,91.84
europe_lau,Nack,nack,na,61.9,70.13,40.23
europe_lau,Nanzdietschweiler,nanzdietschweiler,na,67.29,71.65,57.18
europe_lau,Nackenheim,nackenheim,na,42.88,68.61,80.31
europe_lau,"Nagold, Stadt",nagold_stadt,na,44.77,65.42,99.96
europe_lau,Nassereith,nassereith,na,47.77,58.83,61.47
europe_lau,Nattheim,nattheim,na,49.32,58.93,39.42
europe_lau,Natters,natters,na,28.08,56.29,17.09
europe_lau,Navis,navis,na,41.94,66.68,-15.71
europe_lau,"Nassenfels, M",nassenfels_m,na,27.34,43.54,-40.31
europe_lau,"Nandlstadt, M",nandlstadt_m,na,68.62,70.84,47.27
europe_lau,"Naumburg (Saale), Stadt",naumburg_saale_stadt,na,54.66,60.01,47.07
europe_lau,"Naunhof, Stadt",naunhof_stadt,na,32.77,51.18,4.8
europe_lau,Naundorf,naundorf,na,51.11,72.22,20.76
europe_lau,Nalbach,nalbach,na,44.93,63.37,12.75
europe_lau,Namborn,namborn,na,68.15,70.58,67.1
europe_lau,Nausnitz,nausnitz,na,55.67,73.92,20.76
europe_lau,Nauendorf,nauendorf,na,43.66,54.76,68.47
europe_lau,Nazza,nazza,na,52.93,64.65,59.15
europe_lau,"Nauen, Stadt",nauen_stadt,na,43.88,56.06,59.31
europe_lau,Næstved,naestved,na,51.3,63.77,36.68
europe_lau,Nacimiento,nacimiento,na,37.27,59.52,99.11
europe_lau,Narrillos del Álamo,narrillos_del_alamo,na,24.63,49.71,14.2
europe_lau,Navaridas,navaridas,na,61.21,75.69,72.23
europe_lau,Naut Aran,naut_aran,na,45.68,66.86,75.77
europe_lau,Nafría de Ucero,nafria_de_ucero,na,40.21,64.37,90.48
europe_lau,Narros,narros,na,51.28,75.4,-9.96
europe_lau,Navaleno,navaleno,na,43.03,66.14,73.92
europe_lau,Narrillos del Rebollar,narrillos_del_rebollar,na,55.86,73.69,29.97
europe_lau,Narros del Castillo,narros_del_castillo,na,70,69.23,44.67
europe_lau,Narros del Puerto,narros_del_puerto,na,51,70.35,83.63
europe_lau,Narros de Saldueña,narros_de_salduena,na,32.22,58.72,98.38
europe_lau,Navacepedilla de Corneja,navacepedilla_de_corneja,na,56.19,76.6,52.33
europe_lau,Nava de Arévalo,nava_de_arevalo,na,69.8,66.31,54.52
europe_lau,Nava del Barco,nava_del_barco,na,30.07,61.51,89.65
europe_lau,Navadijos,navadijos,na,53.02,67.96,21.11
europe_lau,Navaescurial,navaescurial,na,55.86,80.17,19.43
europe_lau,Navahondilla,navahondilla,na,58.78,67.13,54.57
europe_lau,Navalacruz,navalacruz,na,35.58,62.52,-54.78
europe_lau,Navalmoral,navalmoral,na,64.42,81.62,62.12
europe_lau,Navalonguilla,navalonguilla,na,52.52,72.08,32.28
europe_lau,Navalosa,navalosa,na,38.41,49.76,38.06
europe_lau,Navalperal de Pinares,navalperal_de_pinares,na,66.77,71.57,75.41
europe_lau,Navalperal de Tormes,navalperal_de_tormes,na,22.76,57.38,86.27
europe_lau,Navaluenga,navaluenga,na,67.59,74.81,32.06
europe_lau,Navaquesera,navaquesera,na,22.38,59.39,-140.87
europe_lau,Navarredonda de Gredos,navarredonda_de_gredos,na,54.03,83.26,88.2
europe_lau,Navarredondilla,navarredondilla,na,41.29,63.99,-12.03
europe_lau,Navarrevisca,navarrevisca,na,51.14,65.6,31.85
europe_lau,"Navas del Marqués, Las",navas_del_marques_las,na,66.44,77.82,39.66
europe_lau,Navatalgordo,navatalgordo,na,51.13,72.75,-13.18
europe_lau,Navatejares,navatejares,na,50.85,72.21,69.34
europe_lau,Namen,namen,na,56.98,61.25,40.07
europe_lau,Narboneta,narboneta,na,41.02,56.13,0.25
europe_lau,Navajas,navajas,na,71.26,87.75,53.79
europe_lau,Navas de Jorquera,navas_de_jorquera,na,60.53,66.47,64.38
europe_lau,Nandrin,nandrin,na,41.88,61.68,-8.75
europe_lau,Navarcles,navarcles,na,46.49,59.54,82.05
europe_lau,Navàs,navas,na,30.42,51.15,-48.71
europe_lau,Navalpino,navalpino,na,63.06,71.47,30.89
europe_lau,Navas de Estena,navas_de_estena,na,40.12,58.42,93.69
europe_lau,"Nava de Santiago, La",nava_de_santiago_la,na,75.27,74.24,64.36
europe_lau,Navalvillar de Pela,navalvillar_de_pela,na,46.12,54.58,74.14
europe_lau,Nava de Roa,nava_de_roa,na,46.9,64.77,52.06
europe_lau,Navas de Bureba,navas_de_bureba,na,61.67,77.79,38.57
europe_lau,Navata,navata,na,33.14,51.08,92.04
europe_lau,Navaconcejo,navaconcejo,na,58.52,71.83,34.69
europe_lau,Navalmoral de la Mata,navalmoral_de_la_mata,na,57.75,62,44.71
europe_lau,Navalvillar de Ibor,navalvillar_de_ibor,na,30.51,52.88,80.65
europe_lau,Navas del Madroño,navas_del_madrono,na,53.85,64.51,80.07
europe_lau,Navezuelas,navezuelas,na,49,77.26,81.89
europe_lau,Narón,naron,na,41.57,52.91,17.08
europe_lau,Nazareth,nazareth,na,47.28,61.48,10.69
europe_lau,"Naila, St",naila_st,na,45.41,62.67,72.13
europe_lau,Narva linn,narva_linn,na,36.9,63.93,79.4
europe_lau,Narva-Jõesuu linn,narva_joesuu_linn,na,45.91,63.61,51.64
europe_lau,Nagel,nagel,na,35.2,67.59,-29.12
europe_lau,Nadrensee,nadrensee,na,53.55,68.57,12.21
europe_lau,Nassogne,nassogne,na,55.7,68.17,37.75
europe_lau,Nauders,nauders,na,62.47,67.02,50.6
europe_lau,"Nabburg, St",nabburg_st,na,47.66,61.95,5.69
europe_lau,Namlos,namlos,na,47.56,51.74,51.63
europe_lau,Nagel-Séez-Mesnil,nagel_seez_mesnil,na,46.53,67.89,47.21
europe_lau,Nassandres sur Risle,nassandres_sur_risle,na,36.13,55.41,-21.5
europe_lau,Nabirat,nabirat,na,50.46,64.49,71.04
europe_lau,Nadaillac,nadaillac,na,50.74,59.23,58.92
europe_lau,Nailhac,nailhac,na,50.42,70.89,92.2
europe_lau,Nanteuil-Auriac-de-Bourzac,nanteuil_auriac_de_bourzac,na,46.51,62.96,54.5
europe_lau,Nantheuil,nantheuil,na,45.91,68.64,96.13
europe_lau,Nanthiat,nanthiat,na,41.12,57.77,53.6
europe_lau,Nastringues,nastringues,na,56.94,79.02,-0.67
europe_lau,Naussannes,naussannes,na,66.31,75.24,52.58
europe_lau,Nan-sous-Thil,nan_sous_thil,na,39.73,57.77,92.98
europe_lau,Nantoux,nantoux,na,58.71,70.85,64.84
europe_lau,Najac,najac,na,59.26,63.57,31.72
europe_lau,Nant,nant,na,51.06,68.71,92.93
europe_lau,Naucelle,naucelle,na,37.64,49.73,28.34
europe_lau,Naussac,naussac,na,34.94,59.66,89.68
europe_lau,Nauviale,nauviale,na,65.36,67.02,66.27
europe_lau,Nançay,nancay,na,57.17,65.43,77.08
europe_lau,Nachamps,nachamps,na,47.5,64.06,55.09
europe_lau,Nancras,nancras,na,27.64,40.79,79.09
europe_lau,Nantillé,nantille,na,50.6,66.75,30.83
europe_lau,Naantali,naantali,na,25.28,55.57,86.34
europe_lau,Nakkila,nakkila,na,40.24,55.95,-12.22
europe_lau,Nades,nades,na,39.56,63.53,99.29
europe_lau,Nassigny,nassigny,na,41.19,66.49,9.43
europe_lau,Naves,naves,na,52.39,72.48,20.46
europe_lau,Närpiö,narpio,na,39.66,53.47,83.85
europe_lau,Narbonne,narbonne,na,33.83,42.76,31.01
europe_lau,Naisey-les-Granges,naisey_les_granges,na,53.6,72.11,13
europe_lau,Nancray,nancray,na,62.33,75.33,72.5
europe_lau,Nans,nans,na,54.93,82.77,90.9
europe_lau,Nans-sous-Sainte-Anne,nans_sous_sainte_anne,na,37.44,54.55,-20.95
europe_lau,Narbief,narbief,na,58.18,71.17,58.68
europe_lau,Nantua,nantua,na,33.19,41.76,74.69
europe_lau,Nalzen,nalzen,na,21.16,48.27,-114.93
europe_lau,Nanteuil-sur-Aisne,nanteuil_sur_aisne,na,64.49,78.81,72.51
europe_lau,Narros de Matalayegua,narros_de_matalayegua,na,44.85,59.85,45.67
europe_lau,Navacarros,navacarros,na,16.47,42.62,98.77
europe_lau,Nava de Béjar,nava_de_bejar,na,43.72,60.35,2.91
europe_lau,Nava de Francia,nava_de_francia,na,46.24,72.49,58.64
europe_lau,Nava de Sotrobal,nava_de_sotrobal,na,73.55,77.29,45.34
europe_lau,Navales,navales,na,54.05,63.49,70.66
europe_lau,Navalmoral de Béjar,navalmoral_de_bejar,na,49.43,62.69,88.34
europe_lau,Navamorales,navamorales,na,65.43,72.92,80.55
europe_lau,Navarredonda de la Rinconada,navarredonda_de_la_rinconada,na,51.03,59.23,34.8
europe_lau,Navasfrías,navasfrias,na,64.28,72.16,68.59
europe_lau,Nabarniz,nabarniz,na,74.25,75.83,57.5
europe_lau,Naval,naval,na,68.68,72.7,57.57
europe_lau,Nava de la Asunción,nava_de_la_asuncion,na,46.74,68.83,35.45
europe_lau,Navafría,navafria,na,29.09,71.03,79.28
europe_lau,Navalilla,navalilla,na,30.77,60.15,-39.57
europe_lau,Navalmanzano,navalmanzano,na,49.69,64.34,66.12
europe_lau,Navares de Ayuso,navares_de_ayuso,na,33.61,60.48,88.28
europe_lau,Navares de Enmedio,navares_de_enmedio,na,48.61,63.9,77.12
europe_lau,Navares de las Cuevas,navares_de_las_cuevas,na,49.42,58.27,43.72
europe_lau,Navas de Oro,navas_de_oro,na,56.03,79.72,30.9
europe_lau,Navas de San Antonio,navas_de_san_antonio,na,26.18,54.12,99.59
europe_lau,"Navas de Jadraque, Las",navas_de_jadraque_las,na,49.15,65.47,15.15
europe_lau,Navia de Suarna,navia_de_suarna,na,44.51,55.3,52.97
europe_lau,Nàquera,naquera,na,48.71,65.11,65.23
europe_lau,Navarrés,navarres,na,42.35,62.31,32.4
europe_lau,Navianos de Valverde,navianos_de_valverde,na,53.06,72.06,76.42
europe_lau,Navas de Riofrío,navas_de_riofrio,na,25.56,62.47,87.32
europe_lau,Navacerrada,navacerrada,na,38.34,64.85,86.56
europe_lau,Navalafuente,navalafuente,na,48.35,76.53,47.39
europe_lau,Navalagamella,navalagamella,na,31.27,56.88,94.17
europe_lau,Navalcarnero,navalcarnero,na,49.46,68.46,56.32
europe_lau,Navarredonda y San Mamés,navarredonda_y_san_mames,na,57.17,76.62,43.82
europe_lau,Navas del Rey,navas_del_rey,na,40.36,62.49,83.44
europe_lau,Navascués,navascues,na,50.95,67.82,11.01
europe_lau,Nazar,nazar,na,35.51,68.8,-41.16
europe_lau,Nalec,nalec,na,30.43,67.03,93.48
europe_lau,Navès,naves,na,43.67,53.27,83.51
europe_lau,Nambroca,nambroca,na,47.61,56.06,82.4
europe_lau,"Nava de Ricomalillo, La",nava_de_ricomalillo_la,na,59.6,65.76,33.51
europe_lau,Navahermosa,navahermosa,na,44.19,61.98,60.48
europe_lau,Navalcán,navalcan,na,36.76,56.01,78.27
europe_lau,Navalmoralejo,navalmoralejo,na,42.55,55.72,24.25
europe_lau,"Navalmorales, Los",navalmorales_los,na,46.58,62.65,55.73
europe_lau,"Navalucillos, Los",navalucillos_los,na,33.23,56.11,91.18
europe_lau,Navamorcuende,navamorcuende,na,39.73,54.29,36.5
europe_lau,Nampcelles-la-Cour,nampcelles_la_cour,na,62.82,73.39,35.87
europe_lau,Nampteuil-sous-Muret,nampteuil_sous_muret,na,47.77,80.9,89.27
europe_lau,Nanteuil-la-Fosse,nanteuil_la_fosse,na,51.64,67.68,67.07
europe_lau,Nanteuil-Notre-Dame,nanteuil_notre_dame,na,57.9,76.32,-0.25
europe_lau,Nauroy,nauroy,na,54.4,73.82,88.93
europe_lau,Navas de San Juan,navas_de_san_juan,na,27.71,51.67,96.78
europe_lau,"Navas de la Concepción, Las",navas_de_la_concepcion_las,na,28.96,62.44,90.53
europe_lau,Nava del Rey,nava_del_rey,na,30.53,55.83,92.07
europe_lau,Narnhac,narnhac,na,34.17,55.83,88.99
europe_lau,Navardún,navardun,na,56.06,73.38,57.14
europe_lau,"Nava, La",nava_la,na,59.19,70.09,43.71
europe_lau,Naucelles,naucelles,na,45.75,60.86,7.71
europe_lau,Nájera,najera,na,26.49,32.26,56.32
europe_lau,Nalda,nalda,na,44.83,60.67,77.94
europe_lau,Navajún,navajun,na,35.29,58.12,35.59
europe_lau,Navarrete,navarrete,na,36.29,65.35,-46.92
europe_lau,Nava,nava,na,50.2,62.18,79.39
europe_lau,Navia,navia,na,57.13,74.93,57.17
europe_lau,Narcy,narcy,na,47.72,70.43,22.86
europe_lau,Nasbinals,nasbinals,na,38.45,54.06,84.63
europe_lau,Naussac-Fontanes,naussac_fontanes,na,51.72,59.84,62.2
europe_lau,Náklo,naklo,na,38.77,70.14,67
europe_lau,Nay,nay,na,36.53,74.68,93.95
europe_lau,Nandax,nandax,na,45.37,63.95,22.17
europe_lau,Nancray-sur-Rimarde,nancray_sur_rimarde,na,40.7,70.54,98.37
europe_lau,Nargis,nargis,na,46.81,65.09,93.91
europe_lau,Nantes,nantes,na,36.04,46.02,59.48
europe_lau,Νατά,nata,na,59.12,67.42,47.15
europe_lau,Naveil,naveil,na,49.53,64.12,32.35
europe_lau,Nappersdorf-Kammersdorf,nappersdorf_kammersdorf,na,61.31,67.12,57.92
europe_lau,Nanteuil-la-Forêt,nanteuil_la_foret,na,46.68,50.8,74.18
europe_lau,Nancy,nancy,na,48.24,65.65,30.33
europe_lau,Nampcel,nampcel,na,53.67,70.47,79.53
europe_lau,Nanteuil-le-Haudouin,nanteuil_le_haudouin,na,49.39,63.78,29.2
europe_lau,Nadaillac-de-Rouge,nadaillac_de_rouge,na,38.54,68.42,0.27
europe_lau,Nadillac,nadillac,na,39.83,58.89,99.09
europe_lau,Naujac-sur-Mer,naujac_sur_mer,na,40.55,68.85,-11.27
europe_lau,Naujan-et-Postiac,naujan_et_postiac,na,50.42,66.01,27.24
europe_lau,Naillat,naillat,na,50.48,60.51,37.24
europe_lau,Nance,nance,na,33.67,46.05,91.69
europe_lau,Nancuise,nancuise,na,66.64,76.23,37.31
europe_lau,Naters,naters,na,48.68,63.51,80.96
europe_lau,Naves,naves,na,52.51,55.53,73.92
europe_lau,Nailloux,nailloux,na,59.99,64.52,50.32
europe_lau,Narrosse,narrosse,na,58.36,68.19,22.87
europe_lau,Nassiet,nassiet,na,56.53,74.53,27.25
europe_lau,Nanchez,nanchez,na,42.11,51.5,50.9
europe_lau,Nantes-en-Ratier,nantes_en_ratier,na,36.56,62.23,99.75
europe_lau,Nabinaud,nabinaud,na,47.8,73.92,93.84
europe_lau,Nanclars,nanclars,na,64.02,76.53,31.66
europe_lau,Nanteuil-en-Vallée,nanteuil_en_vallee,na,53.53,58.91,77.26
europe_lau,Nages-et-Solorgues,nages_et_solorgues,na,48.64,61.64,15
europe_lau,Navacelles,navacelles,na,54.74,69.05,65.29
europe_lau,Nazelles-Négron,nazelles_negron,na,62.78,75.11,80.68
europe_lau,Nampont,nampont,na,31.96,60.18,-37.44
europe_lau,Namps-Maisnil,namps_maisnil,na,50.48,70.41,5.85
europe_lau,Nampty,nampty,na,47.67,76.44,69.62
europe_lau,Naours,naours,na,54.08,72.73,82.18
europe_lau,Nages,nages,na,38.69,57.31,12.83
europe_lau,Navès,naves,na,62.63,67.33,57.5
europe_lau,Nanton,nanton,na,41.97,66.25,77
europe_lau,Navilly,navilly,na,48.77,58.3,64.56
europe_lau,Nainville-les-Roches,nainville_les_roches,na,66.1,66.02,61.61
europe_lau,Nayemont-les-Fosses,nayemont_les_fosses,na,33.91,68.98,60.33
europe_lau,Nailly,nailly,na,52.44,62.89,88.31
europe_lau,Našice,nasice,na,38.38,56.91,72.08
europe_lau,Nahuja,nahuja,na,35.96,71.19,20.06
europe_lau,Nambsheim,nambsheim,na,35.85,69.32,-67.1
europe_lau,Nalžovice,nalzovice,na,44.6,56.09,88.26
europe_lau,Nans-les-Pins,nans_les_pins,na,67.18,71.75,65.5
europe_lau,Nantiat,nantiat,na,40.06,58.4,99.36
europe_lau,Navour-sur-Grosne,navour_sur_grosne,na,53.29,66.15,34.19
europe_lau,Nákří,nakri,na,52.58,64.04,68.85
europe_lau,Naintré,naintre,na,44.98,62.2,86.24
europe_lau,Nalliers,nalliers,na,57.99,66.78,48.03
europe_lau,Nauvay,nauvay,na,49.92,74.22,31.61
europe_lau,Naives-en-Blois,naives_en_blois,na,67.03,75.77,37.03
europe_lau,Naives-Rosières,naives_rosieres,na,54.51,74.19,45.53
europe_lau,Naix-aux-Forges,naix_aux_forges,na,30.81,57.8,95.99
europe_lau,Nançois-le-Grand,nancois_le_grand,na,54.75,69.08,41.37
