name_clean,name_real
zbizuby,Zbizuby
zbraslavice,Zbraslavice
zbysov,Zbýšov
zbozicko,Zbožíčko
zbuzany,Zbuzany
zbenice,Zbenice
zbecno,Zbečno
zbelitov,Zbelítov
zbesicky,Zběšičky
zbytiny,Zbytiny
zborovy,Zborovy
zbuch,Zbůch
zbiroh,Zbiroh
zbrasin,Zbrašín
zbilidy,Zbilidy
zbinohy,Zbinohy
zbraslavec,Zbraslavec
zbraslav,Zbraslav
zblovice,Zblovice
zborov,Zborov
zborovice,Zborovice
zbyslavice,Zbyslavice
zbiczno,Zbiczno
zbojno,Zbójno
zbaszynek,Zbąszynek
zbuczyn,Zbuczyn
zbojna,Zbójna
zblewo,Zblewo
zbroslawice,Zbrosławice
zbaszyn,Zbąszyń
zbigovci,Zbigovci
zbilje,Zbilje
zbelovo,Zbelovo
zbelovska_gora,Zbelovska Gora
zbure,Zbure
zbrojniky,Zbrojníky
zbehy,Zbehy
zborov_nad_bystricou,Zborov nad Bystricou
zbynov,Zbyňov
zbudske_dlhe,Zbudské Dlhé
zbojne,Zbojné
zbudska_bela,Zbudská Belá
zboj,Zboj
zbudza,Zbudza
zbehnov,Zbehňov
