name_clean,name_real
strachotice,Strachotice
stara_cervena_voda,Stará Červená Voda
stren,Střeň
strukov,Strukov
starechovice,Stařechovice
stinava,Stínava
strazisko,Stražisko
stara_ves,Stará Ves
stritez_nad_ludinou,Střítež nad Ludinou
stribrnice,Stříbrnice
stavenice,Stavenice
strilky,Střílky
stare_hute,Staré Hutě
stary_hrozenkov,Starý Hrozenkov
strani,Strání
stupava,Stupava
strelna,Střelná
stritez_nad_becvou,Střítež nad Bečvou
stare_herminovy,Staré Heřminovy
staric,Staříč
stare_hamry,Staré Hamry
stonava,Stonava
stary_jicin,Starý Jičín
studenka,Studénka
steborice,Stěbořice
strahovice,Strahovice
stare_techanovice,Staré Těchanovice
stara_ves_nad_ondrejnici,Stará Ves nad Ondřejnicí
stelle_wittenwurth,Stelle-Wittenwurth
strubbel,Strübbel
sterley,Sterley
steinhorst,Steinhorst
stubben,Stubben
stadum,Stadum
stedesand,Stedesand
struckum,Struckum
stockelsdorf,Stockelsdorf
stakendorf,Stakendorf
stein,Stein
stoltenberg,Stoltenberg
stolpe,Stolpe
strande,Strande
stafstedt,Stafstedt
steenfeld,Steenfeld
stolk,Stolk
struxdorf,Struxdorf
stangheck,Stangheck
steinberg,Steinberg
sterup,Sterup
stoltebull,Stoltebüll
steinbergkirche,Steinbergkirche
stocksee,Stocksee
struvenhutten,Struvenhütten
stuvenborn,Stuvenborn
stipsdorf,Stipsdorf
strukdorf,Strukdorf
stordorf,Stördorf
storkathen,Störkathen
steinburg,Steinburg
stapelfeld,Stapelfeld
staufenberg,Staufenberg
stuhr,Stuhr
stemshorn,Stemshorn
staffhorst,Staffhorst
stadtoldendorf,Stadtoldendorf
steyerberg,Steyerberg
steimbke,Steimbke
stockse,Stöckse
stolzenau,Stolzenau
stadthagen,Stadthagen
stinstedt,Stinstedt
steinau,Steinau
stelle,Stelle
stemmen,Stemmen
stade,Stade
steinkirchen,Steinkirchen
stoetze,Stoetze
stavern,Stavern
steinfeld_oldenburg,Steinfeld (Oldenburg)
stadland,Stadland
stedesdorf,Stedesdorf
straelen,Straelen
stolberg_rhld,Stolberg (Rhld.)
stadtlohn,Stadtlohn
steinfurt,Steinfurt
steinhagen,Steinhagen
steinheim,Steinheim
stemwede,Stemwede
stockstadt_am_rhein,Stockstadt am Rhein
steinbach_taunus,Steinbach (Taunus)
steinau_an_der_strasse,Steinau an der Straße
stadtallendorf,Stadtallendorf
steffenberg,Steffenberg
sturzelbach,Stürzelbach
steinebach_sieg,Steinebach/Sieg
steineroth,Steineroth
staudernheim,Staudernheim
stromberg,Stromberg
stipshausen,Stipshausen
stebach,Stebach
steimel,Steimel
strassenhaus,Straßenhaus
steinbach,Steinbach
steinsberg,Steinsberg
struth,Strüth
stockhausen_illfurth,Stockhausen-Illfurth
steinebach_an_der_wied,Steinebach an der Wied
stein_wingert,Stein-Wingert
streithausen,Streithausen
stahlhofen,Stahlhofen
stein_neukirch,Stein-Neukirch
steinefrenz,Steinefrenz
stahlhofen_am_wiesensee,Stahlhofen am Wiesensee
stockum_puschen,Stockum-Püschen
staudt,Staudt
starkenburg,Starkenburg
strickscheid,Strickscheid
stockem,Stockem
steinborn,Steinborn
steineberg,Steineberg
steiningen,Steiningen
strohn,Strohn
strotzbusch,Strotzbüsch
stadtkyll,Stadtkyll
steffeln,Steffeln
stein_bockenheim,Stein-Bockenheim
standenbuhl,Standenbühl
stahlberg,Stahlberg
steinbach_am_donnersberg,Steinbach am Donnersberg
steinweiler,Steinweiler
stelzenberg,Stelzenberg
steinwenden,Steinwenden
steinbach_am_glan,Steinbach am Glan
stadecken_elsheim,Stadecken-Elsheim
steinalben,Steinalben
stuttgart,Stuttgart
steinenbronn,Steinenbronn
steinheim_an_der_murr,Steinheim an der Murr
stimpfach,Stimpfach
steinheim_am_albuch,Steinheim am Albuch
stodtlen,Stödtlen
stutensee,Stutensee
steinmauern,Steinmauern
st_leon_rot,St. Leon-Rot
straubenhardt,Straubenhardt
sternenfels,Sternenfels
stegen,Stegen
st_margen,St. Märgen
st_peter,St. Peter
staufen_im_breisgau,Staufen im Breisgau
st_georgen_im_schwarzwald,St. Georgen im Schwarzwald
steisslingen,Steißlingen
stockach,Stockach
stuhlingen,Stühlingen
st_blasien,St. Blasien
st_johann,St. Johann
starzach,Starzach
strassberg,Straßberg
staig,Staig
steinhausen_an_der_rottum,Steinhausen an der Rottum
stetten_am_kalten_markt,Stetten am kalten Markt
stammham,Stammham
steinhoring,Steinhöring
strasslach_dingharting,Straßlach-Dingharting
stephanskirchen,Stephanskirchen
starnberg,Starnberg
starnberger_see,Starnberger See
staudach_egerndach,Staudach-Egerndach
steingaden,Steingaden
straubing,Straubing
stephansposching,Stephansposching
stallwang,Stallwang
strasskirchen,Straßkirchen
stamsried,Stamsried
stornstein,Störnstein
stulln,Stulln
stadlern,Stadlern
steinberg_am_see,Steinberg am See
stegaurach,Stegaurach
strullendorf,Strullendorf
steinachsrangen,Steinachsrangen
stadelhofen,Stadelhofen
stammbach,Stammbach
steinbach_a_wald,Steinbach a. Wald
steinwiesen,Steinwiesen
stockheim,Stockheim
stadtsteinach,Stadtsteinach
steinsfeld,Steinsfeld
stockstadt_a_main,Stockstadt a. Main
steinacher_forst_r_d_saale,Steinacher Forst r.d. Saale
strahlungen,Strahlungen
stettfeld,Stettfeld
stadtprozelten,Stadtprozelten
stadtlauringen,Stadtlauringen
stollbergerforst,Stollbergerforst
steindorf,Steindorf
stadtbergen,Stadtbergen
stoffenrieder_forst,Stoffenrieder Forst
stiefenhofen,Stiefenhofen
stottwang,Stöttwang
stotten_a_auerberg,Stötten a. Auerberg
st_ingbert,St. Ingbert
st_wendel,St. Wendel
straupitz,Straupitz
steinreich,Steinreich
stechow_ferchesar,Stechow-Ferchesar
strausberg,Strausberg
stechlin,Stechlin
steinhofel,Steinhöfel
storkow_mark,Storkow (Mark)
studenitz_schonermark,Stüdenitz-Schönermark
storbeck_frankendorf,Storbeck-Frankendorf
stahnsdorf,Stahnsdorf
staven,Staven
stuer,Stuer
stavenhagen,Stavenhagen
steffenshagen,Steffenshagen
stubbendorf,Stubbendorf
stabelow,Stäbelow
stralsund,Stralsund
stepenitztal,Stepenitztal
strasburg_uckermark,Strasburg (Uckermark)
stolpe_an_der_peene,Stolpe an der Peene
stolpe_auf_usedom,Stolpe auf Usedom
strohkirchen,Strohkirchen
sternberg,Sternberg
